# Force coefficients
# liftDir         : (-1.7364796312e-01 0.0000000000e+00 9.8480779084e-01)
# dragDir         : (9.8480779084e-01 0.0000000000e+00 1.7364796312e-01)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.2159694500e+01
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
188               	-2.0941359880e-02	4.8247045551e-02	5.1235847855e-01	2.3523787940e-01	2.7712059916e-01
189               	-1.8549316244e-02	4.7185653647e-02	5.0943509547e-01	2.3616823149e-01	2.7326686398e-01
190               	-1.6100644169e-02	4.6094932899e-02	5.0639963678e-01	2.3709917422e-01	2.6930046256e-01
191               	-1.3530313532e-02	4.4963178128e-02	5.0316781722e-01	2.3805359508e-01	2.6511422214e-01
192               	-1.0644607089e-02	4.3693674889e-02	4.9926573587e-01	2.3898826085e-01	2.6027747503e-01
193               	-7.7237825955e-03	4.2412687446e-02	4.9531566360e-01	2.3993404920e-01	2.5538161440e-01
194               	-4.7301183200e-03	4.1082545755e-02	4.9108328564e-01	2.4081152450e-01	2.5027176114e-01
195               	-1.7063175181e-03	3.9718974343e-02	4.8669856007e-01	2.4164296251e-01	2.4505559755e-01
196               	1.2693567858e-03	3.8370074967e-02	4.8239200529e-01	2.4246535943e-01	2.3992664586e-01
197               	4.1045360430e-03	3.7076923197e-02	4.7840247089e-01	2.4330577149e-01	2.3509669940e-01
198               	6.7416125300e-03	3.5874250611e-02	4.7486222265e-01	2.4417272385e-01	2.3068949879e-01
199               	9.1405136886e-03	3.4775566059e-02	4.7183115386e-01	2.4505609062e-01	2.2677506324e-01
200               	1.1266872069e-02	3.3784685597e-02	4.6936413831e-01	2.4594894122e-01	2.2341519709e-01
201               	1.3119795907e-02	3.2905384166e-02	4.6747183744e-01	2.4685571463e-01	2.2061612281e-01
202               	1.4643227818e-02	3.2162057588e-02	4.6627008448e-01	2.4777827006e-01	2.1849181442e-01
203               	1.5760983480e-02	3.1585281173e-02	4.6589879644e-01	2.4871038170e-01	2.1718841474e-01
204               	1.6446762803e-02	3.1189327633e-02	4.6641981436e-01	2.4965666998e-01	2.1676314438e-01
205               	1.6726362725e-02	3.0967253831e-02	4.6781318922e-01	2.5063295733e-01	2.1718023188e-01
206               	1.6670264741e-02	3.0885452697e-02	4.7013040633e-01	2.5173546791e-01	2.1839493843e-01
207               	1.6343238206e-02	3.0946186184e-02	4.7271323470e-01	2.5269985556e-01	2.2001337914e-01
208               	1.5789481551e-02	3.1112919442e-02	4.7587860841e-01	2.5372878576e-01	2.2214982266e-01
209               	1.5044082737e-02	3.1362343755e-02	4.7988792661e-01	2.5498804604e-01	2.2489988057e-01
210               	1.4376965355e-02	3.1593812834e-02	4.8334131694e-01	2.5604762382e-01	2.2729369311e-01
211               	1.3702827741e-02	3.1835375820e-02	4.8694619238e-01	2.5717592393e-01	2.2977026845e-01
212               	1.2976096292e-02	3.2111616458e-02	4.9108551094e-01	2.5851885176e-01	2.3256665918e-01
213               	1.2456844706e-02	3.2326722943e-02	4.9443853815e-01	2.5967611378e-01	2.3476242437e-01
214               	1.1969858595e-02	3.2550747049e-02	4.9809154305e-01	2.6101563012e-01	2.3707591293e-01
215               	1.1716505028e-02	3.2695780567e-02	5.0100064500e-01	2.6221682753e-01	2.3878381747e-01
216               	1.1528308356e-02	3.2811113202e-02	5.0417238787e-01	2.6361450229e-01	2.4055788558e-01
217               	1.1486514012e-02	3.2869267036e-02	5.0699465999e-01	2.6498384401e-01	2.4201081598e-01
218               	1.1572603301e-02	3.2888369828e-02	5.0930550997e-01	2.6622535829e-01	2.4308015169e-01
219               	1.1536053445e-02	3.2947902545e-02	5.1215365362e-01	2.6761288026e-01	2.4454077337e-01
220               	1.1451514015e-02	3.3034304224e-02	5.1506004241e-01	2.6898153522e-01	2.4607850719e-01
